zone_id,settlement,NDVI,NDBI,MNDWI,SAVI,UI,Contrast,Entropy,Homogeneity,Correlation,road_density,paved_proportion
MTH_1088,Mathare,0.0617020889551509,0.2053095958271304,-0.3260815129296227,0.0365483151962858,0.2053095958271304,38101.46802696672,4.3510009984076685,0.0099706074671552,0.5518217465024527,20100.6986,0.0
MTH_1089,Mathare,0.0333496068454496,0.197967980024515,-0.3065288805313726,0.0188714621428581,0.197967980024515,24155.06142094973,4.352243369030043,0.0090602027309248,0.3687344515537423,20156.4459,0.0
MTH_1090,Mathare,0.1466753938604539,0.1086521851675628,-0.3297258700989106,0.0905680236088287,0.1086521851675628,58310.55838571726,4.353741458929681,0.0050136468369652,0.6789817026087964,20083.814,0.0
MTH_1091,Mathare,0.4835454592134313,-0.0211539266311527,-0.5066371857967654,0.2907614184937018,-0.0211539266311527,45737.97085063928,4.353741458929681,0.0016799974503756,0.4423165383558708,0.0,0.0
MTH_1092,Mathare,0.3229361514541426,0.1064809704931638,-0.5109306648352456,0.1955119341020958,0.1064809704931638,38022.48574464105,4.351184268590829,0.0059593163159129,0.4298344133852526,23471.2697,0.0
MTH_1093,Mathare,0.3202434231816228,0.1102419373813474,-0.5108739905880829,0.2008457270968957,0.1102419373813474,23138.24174176274,4.347005629198481,0.0065006364863086,0.333819727354285,24980.4145,0.0
MTH_1094,Mathare,0.3210460483539022,0.0969689699796093,-0.5063161235955763,0.1991069375669359,0.0969689699796093,29176.16105246382,4.339069688956517,0.006893232671307,0.3753623888549142,21115.0079,0.0
MTH_1095,Mathare,0.4936624383770867,0.0093408133741559,-0.5528661892003891,0.2824036798888224,0.0093408133741559,38348.893320841584,4.327401664364652,0.004664012572403,0.3500435313276485,297.6521,0.0
MTH_1096,Mathare,0.3757373143982486,0.0140879862930973,-0.4540430124426057,0.2290418749756853,0.0140879862930973,30521.565778582488,4.353741458929681,0.0047478730409571,0.2898790527463045,21404.0974,0.0
MTH_1097,Mathare,0.3129750721247201,0.0428451127176341,-0.4282219715274326,0.19260616843784,0.0428451127176341,19074.805837692064,4.351670116569366,0.0118927300465165,0.4782470712906743,0.0,0.0
MTH_1098,Mathare,0.3494052901512028,0.0149251923842809,-0.4320462518764449,0.2137259436362404,0.0149251923842809,69439.75873485397,4.35092470740583,0.0061646263077564,0.511430844069888,20986.4766,0.0
MTH_1099,Mathare,0.439808363860294,-0.0506192020309512,-0.4447143584529187,0.2751284682331344,-0.0506192020309512,102981.67884662429,4.348776696585532,0.0072051201448262,0.5344520337744749,96974.3378,0.0
MTH_1123,Mathare,0.0142582512304589,0.2020552787977317,-0.2634852985010149,0.0079301924917677,0.2020552787977317,19615.50823031212,4.339981754977111,0.0184301480624029,0.4178418916551144,18813.316,0.0
MTH_1124,Mathare,0.0921533572774678,0.1697847691179547,-0.3055255320246872,0.053987614329641,0.1697847691179547,41912.23968772835,4.346217625202368,0.0114971889775647,0.4730908583517696,39495.6397,0.0
MTH_1125,Mathare,0.0670867511067893,0.1706540179061769,-0.3226065758020092,0.0382437778856344,0.1706540179061769,55195.64536138079,4.349359734604747,0.0067274815825963,0.3502190941684018,22018.0437,0.0
MTH_1126,Mathare,0.1107640413058602,0.159855923572613,-0.3320262335472406,0.0655885092187057,0.159855923572613,74639.40090270633,4.343412554951101,0.0093594834047134,0.5738309013646632,21998.3834,0.0
MTH_1127,Mathare,0.2639842844505288,0.0811993681113555,-0.3715334591007759,0.1578951140507209,0.0811993681113555,74546.81716519917,4.348277111706194,0.006737557172165,0.6544563036134192,5682.8634,0.0
MTH_1128,Mathare,0.0336010989649747,0.2243276777103278,-0.3141088351989487,0.0193428111527533,0.2243276777103278,33692.33166684684,4.351054611601207,0.0052131749891299,0.4683685754471158,31766.7476,0.0
MTH_1129,Mathare,0.0294385746575396,0.205564965448087,-0.3164617379563195,0.0164138680207168,0.205564965448087,17293.44131435428,4.350355903855004,0.0075228280276672,0.3091211197590784,38953.2035,0.0
MTH_1130,Mathare,0.1821643708095218,0.0872713331774929,-0.3546422175174153,0.1100274269616122,0.0872713331774929,48422.99419812937,4.352917188087125,0.0031940247943919,0.7210659582120321,31971.809,0.0
MTH_1131,Mathare,0.4520182267759237,-0.0066020875185457,-0.506790166020187,0.2715853171791992,-0.0066020875185457,33591.225023644234,4.353741458929681,0.0014378408423802,0.4669119225514985,0.0,0.0
MTH_1132,Mathare,0.3065388478751296,0.1364463672372771,-0.5358193049892703,0.186634192705558,0.1364463672372771,22595.64979661688,4.351771219063072,0.0044278609981777,0.4703973702221936,21243.9213,0.0
MTH_1133,Mathare,0.3133710204341419,0.117986359999011,-0.5380834556810813,0.1956031724573044,0.117986359999011,23539.241326823558,4.349620536145959,0.0061747805761125,0.3861842957591898,25406.6417,0.0
MTH_1134,Mathare,0.3752287838150155,0.0779400984919117,-0.5278897926326643,0.2248255368612965,0.0779400984919117,41347.16971762225,4.35084506713522,0.0073466854211013,0.2482086005772379,29607.8256,0.0
MTH_1135,Mathare,0.4622626563417125,-0.0094715406649134,-0.5274936119813682,0.2725064125704516,-0.0094715406649134,40986.361291230416,4.352884854661361,0.0024934380215131,0.3268920228742747,0.0,0.0
MTH_1136,Mathare,0.3396378803550303,0.0216538232056586,-0.4381243649956377,0.2149724432230843,0.0216538232056586,35341.21631615723,4.353741458929681,0.0041886380240047,0.5088427150690016,20504.997,0.0
