zone_id,settlement,road_density,paved_proportion,total_road_length_m,road_segment_count
MTH_1129,Mathare,38953.2035,0.0,97.19,5
MTH_1130,Mathare,31971.809,0.0,79.77,2
MTH_1131,Mathare,0.0,0.0,0.0,0
MTH_1132,Mathare,21243.9213,0.0,53.0,1
MTH_1133,Mathare,25406.6417,0.0,63.39,2
MTH_1134,Mathare,29607.8256,0.0,73.87,2
MTH_1135,Mathare,0.0,0.0,0.0,0
MTH_1136,Mathare,20504.997,0.0,51.16,1
MTH_1137,Mathare,5786.3622,0.0,14.44,1
MTH_1138,Mathare,31758.1994,0.0,73.36,2
MTH_1163,Mathare,2628.6546,0.0,5.36,1
MTH_1164,Mathare,37477.8285,0.0,93.51,4
MTH_1165,Mathare,44323.0884,0.0,110.59,3
MTH_1166,Mathare,28766.3156,0.0,71.77,2
MTH_1167,Mathare,0.0,0.0,0.0,0
MTH_1168,Mathare,24042.2392,0.0,59.99,2
MTH_1169,Mathare,20241.3026,0.0,50.5,1
MTH_1170,Mathare,31819.3794,0.0,79.39,2
MTH_1171,Mathare,0.0,0.0,0.0,0
MTH_1172,Mathare,44334.1416,0.0,110.61,3
MTH_1173,Mathare,31691.4086,0.0,79.07,2
MTH_1174,Mathare,21133.2436,0.0,52.73,1
MTH_1175,Mathare,19854.8269,0.0,49.54,1
MTH_1176,Mathare,1107.9859,0.0,2.76,1
MTH_1177,Mathare,25545.4799,0.0,63.74,1
MTH_1178,Mathare,0.0,0.0,0.0,0
MTH_1203,Mathare,2811.2124,0.0,5.8,1
MTH_1204,Mathare,4174.233,0.0,10.41,1
MTH_1205,Mathare,1924.0449,0.0,4.8,1
MTH_1206,Mathare,20290.3291,0.0,50.62,1
MTH_1207,Mathare,9310.4081,0.0,23.23,2
MTH_1208,Mathare,61561.0586,0.0,153.59,4
MTH_1209,Mathare,0.0,0.0,0.0,0
MTH_1210,Mathare,20102.088,0.0,50.15,1
MTH_1211,Mathare,16449.6812,0.0,41.04,1
MTH_1212,Mathare,31993.9782,0.0,79.83,3
MTH_1213,Mathare,42046.1471,0.0,104.91,2
MTH_1214,Mathare,24190.0564,0.0,60.35,2
MTH_1215,Mathare,22492.3275,0.0,56.12,1
MTH_1216,Mathare,21128.1338,0.0,52.71,1
MTH_1217,Mathare,1235.7236,0.0,1.81,1
MTH_1243,Mathare,40670.3599,0.0,83.42,2
MTH_1244,Mathare,34440.9809,0.0,85.93,2
MTH_1245,Mathare,38866.8415,0.0,96.97,3
MTH_1246,Mathare,40980.656,0.0,102.25,3
MTH_1247,Mathare,11515.4114,0.0,28.73,1
MTH_1248,Mathare,521.9826,0.0,1.3,1
MTH_1249,Mathare,20176.6962,0.0,50.34,1
MTH_1250,Mathare,27383.2531,0.0,68.32,2
